n_particles,n_threads,n_steps,avg_force_ms,avg_integrate_ms,avg_vtk_ms,avg_step_ms,total_force_ms,total_integrate_ms,total_vtk_ms,total_sim_ms,gflops_force,particles_per_sec
256,8,20,3.7938,3.9622,0.0000,7.7559,75.8758,79.2430,0.0000,155.1441,0.7743,33002
256,8,20,4.6912,6.2069,0.8840,11.7821,93.8231,124.1384,17.6801,235.6631,0.6262,21726
512,8,20,14.3311,2.3908,0.0000,16.7219,286.6228,47.8158,0.0000,334.5061,0.8215,30612
512,8,20,10.5098,2.4785,2.1999,15.1882,210.1957,49.5710,43.9972,303.8076,1.1202,33706
1024,8,20,27.8505,0.6981,0.0000,28.5485,557.0094,13.9611,0.0000,571.0648,1.6926,35863
1024,8,20,25.6276,1.6174,3.0153,30.2603,512.5514,32.3485,60.3052,605.2586,1.8394,33837
2048,8,20,103.8299,3.7001,0.0000,107.5300,2076.5980,74.0024,0.0000,2150.7263,1.8169,19045
2048,8,20,105.7267,4.5585,6.1964,116.4816,2114.5343,91.1703,123.9275,2329.7232,1.7843,17581
4096,8,20,397.3153,2.2949,0.0000,399.6102,7946.3069,45.8976,0.0000,7992.3711,1.8997,10250
4096,8,20,370.5440,2.1585,10.1798,382.8822,7410.8796,43.1699,203.5953,7657.7862,2.0370,10698
