n_particles,n_threads,n_steps,avg_force_ms,avg_integrate_ms,avg_vtk_ms,avg_step_ms,total_force_ms,total_integrate_ms,total_vtk_ms,total_sim_ms,gflops_force,particles_per_sec
256,1,20,5.3256,0.0014,0.0000,5.3270,106.5119,0.0287,0.0000,106.5472,0.5516,48054
256,2,20,3.3133,0.0031,0.0000,3.3164,66.2662,0.0627,0.0000,66.3514,0.8866,77165
256,4,20,2.0778,0.0039,0.0000,2.0817,41.5562,0.0770,0.0000,41.6443,1.4138,122946
256,8,20,4.3176,3.0703,0.0000,7.3878,86.3515,61.4050,0.0000,147.7886,0.6804,34644
1024,1,20,75.2455,0.0057,0.0000,75.2511,1504.9091,0.1133,0.0000,1505.0681,0.6265,13607
1024,2,20,43.3397,0.0044,0.0000,43.3441,866.7938,0.0889,0.0000,866.9426,1.0877,23623
1024,4,20,27.4420,0.0051,0.0000,27.4471,548.8401,0.1019,0.0000,549.0007,1.7178,37304
1024,8,20,23.9749,1.3290,0.0000,25.3039,479.4977,26.5798,0.0000,506.1266,1.9662,40464
4096,1,20,1288.5435,0.0155,0.0000,1288.5590,25770.8690,0.3103,0.0000,25771.2532,0.5858,3179
4096,2,20,788.0884,0.0123,0.0000,788.1008,15761.7684,0.2468,0.0000,15762.1124,0.9577,5197
4096,4,20,519.2658,0.0201,0.0000,519.2859,10385.3167,0.4019,0.0000,10385.8438,1.4536,7888
4096,8,20,374.6235,2.9333,0.0000,377.5568,7492.4694,58.6663,0.0000,7551.3054,2.0148,10848
